dr,brigade,latitude,longitude
CONSTANTINE,BRIGADE MOBILE A SKIKDA,36.8667,6.9067
CONSTANTINE,BRIGADE POLYVALENTE A BISKRA,34.8516,5.7328
CONSTANTINE,BRIGADE POLYVALENTE A TADJENANET,36.0333,5.9833
ILLIZI,"BRIGADE DE PROTECTION DU PATRIMOINE DE L'AHAGGAR ET DU TASSILI D'ILLIZI",26.4833,8.4667
ILLIZI,"BRIGADE DE PROTECTION DU PATRIMOINE DE L'AHAGGAR ET DU TASSILI D'ILLIZI",26.4833,8.4667
ILLIZI,BRIGADE MOBILE A DJANET,24.2925,9.4590
ILLIZI,BRIGADE MOBILE A ILLIZI,26.4833,8.4667
ILLIZI,BRIGADE MOBILE A IN AMENAS,28.0536,9.6603
ILLIZI,BRIGADE MOBILE A IN AMENAS ,28.0536,9.6603
ILLIZI,BRIGADE POLYVALENTE A BORDJ EL HEOUASS,25.9333,7.9333
ILLIZI,BRIGADE POLYVALENTE A DEBDEB,29.9833,9.1333
ILLIZI,BRIGADE POLYVALENTE A TARAT,24.7333,8.6333
ILLIZI,BRIGADE POLYVALENTE A TINELKOUM,25.4000,8.4000
ILLIZI,"BRIGADE REGIONALE DE LA LUTTE CONTRE LE TRAFIC DES STUPEFIANTS D'ILLIZI",26.4833,8.4667
ILLIZI,"BRIGADE REGIONALE DE LA LUTTE CONTRE LE TRAFIC DES STUPEFIANTS D'ILLIZI",26.4833,8.4667
LAGHOUAT,BRIGADE MOBILE A DJELFA,34.6728,3.2597
